date,forecast
2018-01-01,81.61
2018-01-02,81.61
2018-01-03,81.61
2018-01-04,81.61
2018-01-05,81.61
2018-01-08,81.61
2018-01-09,81.61
2018-01-10,81.61
2018-01-11,81.61
2018-01-12,81.61
2018-01-15,81.61
2018-01-16,81.61
2018-01-17,81.61
2018-01-18,81.61
2018-01-19,81.61
2018-01-22,81.61
2018-01-23,81.61
2018-01-24,81.61
2018-01-25,81.61
2018-01-26,81.61
2018-01-29,81.61
2018-01-30,81.61
2018-01-31,81.61
2018-02-01,81.61
2018-02-02,81.61
2018-02-05,81.61
2018-02-06,81.61
2018-02-07,81.61
2018-02-08,81.61
2018-02-09,81.61
2018-02-12,81.61
2018-02-13,81.61
2018-02-14,81.61
2018-02-15,81.61
2018-02-16,81.61
2018-02-19,81.61
2018-02-20,81.61
2018-02-21,81.61
2018-02-22,81.61
2018-02-23,81.61
2018-02-26,81.61
2018-02-27,81.61
2018-02-28,81.61
2018-03-01,81.61
2018-03-02,81.61
2018-03-05,81.61
2018-03-06,81.61
2018-03-07,81.61
2018-03-08,81.61
2018-03-09,81.61
2018-03-12,81.61
2018-03-13,81.61
2018-03-14,81.61
2018-03-15,81.61
2018-03-16,81.61
2018-03-19,81.61
2018-03-20,81.61
2018-03-21,81.61
2018-03-22,81.61
2018-03-23,81.61
